CountryCode	100m Men	110m Hurdles Men	1500m Men	200m Men	400m Hurdles Men	400m Men	800m Men	Marathon Men	Eights Men	Single Sculls Men	200m Backstroke Men	200m Freestyle Men
USA	2	3	1	1	1	2	2	0	1	0	0	0
FRA	0	0	1	0	1	0	0	2	0	2	0	0
AUS	1	0	0	1	0	0	0	0	0	0	0	1
GBR	0	0	1	0	0	0	1	0	0	1	0	0
NED	0	0	0	0	0	0	0	0	1	0	1	0
AUT	0	0	0	0	0	0	0	0	0	0	1	1
BIN	0	0	0	1	0	0	0	0	0	0	0	0
BEL	0	0	0	0	0	0	0	0	1	0	0	0
SWE	0	0	0	0	0	0	0	1	0	0	0	0
DEU	0	0	0	0	0	0	0	0	0	0	1	0
CAN	0	0	0	0	1	0	0	0	0	0	0	0
DEN	0	0	0	0	0	1	0	0	0	0	0	0
HUN	0	0	0	0	0	0	0	0	0	0	0	1
